species,Experiment ID,Library ID,Anatomical entity ID,Anatomical entity name,Stage ID,Stage name,Sex,Strain,Platform ID,Library type,Library orientation,TPM expression threshold,FPKM expression threshold,Read count,Mapped read count,Min. read length,Max. read length,All genes percent present,Protein coding genes percent present,Intergenic regions percent present,Run IDs,Data source,Data source URL,Bgee normalized data URL,Raw file URL
Drosophila_pseudoobscura,GSE44612,SRX091561,UBERON:0000474,female reproductive system,UBERON:0000066,fully formed stage,female,(DSSC) 14011-0121.94,Illumina HiSeq 2000,paired,NA,0.464791,0.603614,113823129,87013511,0,0,54.49,55.28,29.01,SRR330562,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX091561,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_pseudoobscura/Drosophila_pseudoobscura_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX091561
Drosophila_pseudoobscura,GSE44612,SRX091556,UBERON:0000481,multi-tissue structure,UBERON:0000066,fully formed stage,female,(DSSC) 14011-0121.94,Illumina HiSeq 2000,paired,NA,0.434838,0.728234,109245595,58919325,0,0,71.57,73.06,39.09,SRR330557,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX091556,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_pseudoobscura/Drosophila_pseudoobscura_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX091556
Drosophila_pseudoobscura,GSE44612,SRX091557,UBERON:0000481,multi-tissue structure,UBERON:0000066,fully formed stage,female,(DSSC) 14011-0121.94,Illumina HiSeq 2000,paired,NA,0.33569,0.609338,94559970,59108041,0,0,71.28,73.29,37.4,SRR330558,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX091557,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_pseudoobscura/Drosophila_pseudoobscura_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX091557
Drosophila_pseudoobscura,GSE44612,SRX091558,UBERON:0000481,multi-tissue structure,UBERON:0000066,fully formed stage,male,(DSSC) 14011-0121.94,Illumina HiSeq 2000,paired,NA,0.491162,0.710887,98187202,59786269,0,0,82.7,84.22,41.94,SRR330559,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX091558,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_pseudoobscura/Drosophila_pseudoobscura_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX091558
Drosophila_pseudoobscura,GSE44612,SRX091559,UBERON:0000481,multi-tissue structure,UBERON:0000066,fully formed stage,male,(DSSC) 14011-0121.94,Illumina HiSeq 2000,paired,NA,0.508077,0.727267,94705215,62663220,0,0,82.42,84.5,41.82,SRR330560,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX091559,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_pseudoobscura/Drosophila_pseudoobscura_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX091559
Drosophila_pseudoobscura,GSE44612,SRX054480,UBERON:0007023,adult organism,UBERON:0000066,fully formed stage,female,(DSSC) 14011-0121.94,Illumina Genome Analyzer II,paired,NA,0.401072,0.458341,24355469,16452038,0,0,79.86,81.24,38.74,SRR166828,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX054480,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_pseudoobscura/Drosophila_pseudoobscura_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX054480
Drosophila_pseudoobscura,GSE44612,SRX054481,UBERON:0007023,adult organism,UBERON:0000066,fully formed stage,female,(DSSC) 14011-0121.94,Illumina HiSeq 2000,paired,NA,0.119092,0.19656,74696201,37892335,0,0,80.47,81.1,36.59,SRR166829,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX054481,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_pseudoobscura/Drosophila_pseudoobscura_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX054481
Drosophila_pseudoobscura,GSE44612,SRX054482,UBERON:0007023,adult organism,UBERON:0000066,fully formed stage,male,(DSSC) 14011-0121.94,Illumina Genome Analyzer II,paired,NA,0.417327,0.498109,26588113,18655068,0,0,84.61,86.41,41.91,SRR166830,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX054482,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_pseudoobscura/Drosophila_pseudoobscura_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX054482
Drosophila_pseudoobscura,GSE44612,SRX054483,UBERON:0007023,adult organism,UBERON:0000066,fully formed stage,male,(DSSC) 14011-0121.94,Illumina HiSeq 2000,paired,NA,0.378565,0.489192,72851379,47980400,0,0,85.59,86.67,38.71,SRR166831,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX054483,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_pseudoobscura/Drosophila_pseudoobscura_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX054483
Drosophila_simulans,GSE44612,SRX091570,UBERON:0000079,male reproductive system,UBERON:0000066,fully formed stage,male,(DSSC) 14021-0251.199,Illumina Genome Analyzer II,paired,NA,0.515828,1.369993,27021668,12996154,0,0,71.3,72.37,24.3,SRR330571,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX091570,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_simulans/Drosophila_simulans_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX091570
Drosophila_simulans,GSE44612,SRX091571,UBERON:0000079,male reproductive system,UBERON:0000066,fully formed stage,male,(DSSC) 14021-0251.199,Illumina Genome Analyzer II,paired,NA,0.236707,0.563322,25107578,12877423,0,0,57.54,57.5,28.48,SRR330572,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX091571,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_simulans/Drosophila_simulans_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX091571
Drosophila_simulans,GSE44612,SRX091572,UBERON:0000079,male reproductive system,UBERON:0000066,fully formed stage,male,(DSSC) 14021-0251.199,Illumina Genome Analyzer II,paired,NA,0.468428,1.011312,20281880,12901504,0,0,75.7,77.12,25.78,SRR330573,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX091572,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_simulans/Drosophila_simulans_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX091572
Drosophila_simulans,GSE44612,SRX091568,UBERON:0000474,female reproductive system,UBERON:0000066,fully formed stage,female,(DSSC) 14021-0251.199,Illumina Genome Analyzer II,paired,NA,0.510647,1.356918,27005344,13086510,0,0,71.27,72.28,24.4,SRR330569,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX091568,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_simulans/Drosophila_simulans_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX091568
Drosophila_simulans,GSE44612,SRX091569,UBERON:0000474,female reproductive system,UBERON:0000066,fully formed stage,female,(DSSC) 14021-0251.199,Illumina HiSeq 2000,paired,NA,0.371662,0.593396,76882550,36826564,0,0,57.03,57.71,28.86,SRR330570,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX091569,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_simulans/Drosophila_simulans_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX091569
Drosophila_simulans,GSE44612,SRX091564,UBERON:0000481,multi-tissue structure,UBERON:0000066,fully formed stage,female,(DSSC) 14021-0251.199,Illumina Genome Analyzer II,paired,NA,0.652839,1.160362,26672297,13569217,0,0,73.97,74.76,39.07,SRR330565,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX091564,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_simulans/Drosophila_simulans_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX091564
Drosophila_simulans,GSE44612,SRX091565,UBERON:0000481,multi-tissue structure,UBERON:0000066,fully formed stage,female,(DSSC) 14021-0251.199,Illumina HiSeq 2000,paired,NA,0.633866,1.409936,89482105,45183865,0,0,73.26,74.52,38.69,SRR330566,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX091565,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_simulans/Drosophila_simulans_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX091565
Drosophila_simulans,GSE44612,SRX091566,UBERON:0000481,multi-tissue structure,UBERON:0000066,fully formed stage,male,(DSSC) 14021-0251.199,Illumina Genome Analyzer II,paired,NA,0.397329,0.826649,22824355,12969311,0,0,83.9,85.54,39.51,SRR330567,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX091566,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_simulans/Drosophila_simulans_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX091566
Drosophila_simulans,GSE44612,SRX091567,UBERON:0000481,multi-tissue structure,UBERON:0000066,fully formed stage,male,(DSSC) 14021-0251.199,Illumina Genome Analyzer II,paired,NA,0.726231,1.183688,25908559,13350659,0,0,80.53,81.65,39.02,SRR330568,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX091567,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_simulans/Drosophila_simulans_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX091567
Drosophila_simulans,GSE44612,SRX054467,UBERON:0007023,adult organism,UBERON:0000066,fully formed stage,female,(DSSC) 14021-0251.011,Illumina Genome Analyzer II,paired,NA,0.232537,0.502682,23629448,13513794,0,0,79.02,79.65,39.45,SRR166815,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX054467,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_simulans/Drosophila_simulans_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX054467
Drosophila_simulans,GSE44612,SRX054468,UBERON:0007023,adult organism,UBERON:0000066,fully formed stage,female,(DSSC) 14021-0251.011,Illumina HiSeq 2000,paired,NA,0.173268,0.459358,85317652,44621827,0,0,80.2,80.43,39.56,SRR166816,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX054468,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_simulans/Drosophila_simulans_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX054468
Drosophila_simulans,GSE44612,SRX054463,UBERON:0007023,adult organism,UBERON:0000066,fully formed stage,female,(DSSC) 14021-0251.198,Illumina Genome Analyzer II,paired,NA,0.264107,0.565039,24213038,13086849,0,0,78.56,79.74,39.16,SRR166811,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX054463,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_simulans/Drosophila_simulans_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX054463
Drosophila_simulans,GSE44612,SRX054464,UBERON:0007023,adult organism,UBERON:0000066,fully formed stage,female,(DSSC) 14021-0251.198,Illumina HiSeq 2000,paired,NA,0.218022,0.494074,74331251,39488871,0,0,80.25,80.65,39.49,SRR166812,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX054464,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_simulans/Drosophila_simulans_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX054464
Drosophila_simulans,GSE44612,SRX054469,UBERON:0007023,adult organism,UBERON:0000066,fully formed stage,male,(DSSC) 14021-0251.011,Illumina Genome Analyzer II,paired,NA,0.390811,0.76549,24033245,14465924,0,0,85.83,87.15,41.96,SRR166817,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX054469,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_simulans/Drosophila_simulans_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX054469
Drosophila_simulans,GSE44612,SRX054470,UBERON:0007023,adult organism,UBERON:0000066,fully formed stage,male,(DSSC) 14021-0251.011,Illumina HiSeq 2000,paired,NA,0.380308,0.720283,83911089,47242378,0,0,85.29,86.08,41.39,SRR166818,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX054470,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_simulans/Drosophila_simulans_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX054470
Drosophila_simulans,GSE44612,SRX054465,UBERON:0007023,adult organism,UBERON:0000066,fully formed stage,male,(DSSC) 14021-0251.198,Illumina Genome Analyzer II,paired,NA,0.470227,1.093984,24571732,12869553,0,0,85.31,86.67,40.5,SRR166813,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX054465,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_simulans/Drosophila_simulans_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX054465
Drosophila_simulans,GSE44612,SRX054466,UBERON:0007023,adult organism,UBERON:0000066,fully formed stage,male,(DSSC) 14021-0251.198,Illumina HiSeq 2000,paired,NA,0.33904,0.632468,75521018,44720553,0,0,86.38,87.28,41.16,SRR166814,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX054466,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_simulans/Drosophila_simulans_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX054466
Drosophila_virilis,GSE44612,SRX054488,UBERON:0007023,adult organism,UBERON:0000066,fully formed stage,female,(DSSC) 15010-1051.87,Illumina Genome Analyzer II,paired,NA,0.50962,0.625923,23277292,17985912,0,0,82.36,85.3,43.33,SRR166836,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX054488,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_virilis/Drosophila_virilis_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX054488
Drosophila_virilis,GSE44612,SRX054489,UBERON:0007023,adult organism,UBERON:0000066,fully formed stage,female,(DSSC) 15010-1051.87,Illumina HiSeq 2000,paired,NA,0.434876,0.533807,74781618,60756737,0,0,84.58,85.29,42.28,SRR166837,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX054489,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_virilis/Drosophila_virilis_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX054489
Drosophila_virilis,GSE44612,SRX247002,UBERON:0007023,adult organism,UBERON:0000066,fully formed stage,male,(DSSC) 15010-1051.87,Illumina Genome Analyzer II,paired,NA,0.647438,0.780553,20089745,14106779,0,0,83.34,86.81,42.93,SRR768439,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX247002,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_virilis/Drosophila_virilis_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX247002
Drosophila_virilis,GSE44612,SRX247003,UBERON:0007023,adult organism,UBERON:0000066,fully formed stage,male,(DSSC) 15010-1051.87,Illumina HiSeq 2000,paired,NA,0.548775,0.604137,78385383,60828344,0,0,86.22,87.36,43.27,SRR768440,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX247003,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_virilis/Drosophila_virilis_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX247003
Drosophila_yakuba,GSE44612,SRX054472,UBERON:0007023,adult organism,UBERON:0000066,fully formed stage,female,(DSSC) 14021-0261.01,Illumina Genome Analyzer II,paired,NA,0.349696,0.413473,22556169,17657132,0,0,77.75,78.69,35.96,SRR166820,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX054472,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_yakuba/Drosophila_yakuba_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX054472
Drosophila_yakuba,GSE44612,SRX054473,UBERON:0007023,adult organism,UBERON:0000066,fully formed stage,female,(DSSC) 14021-0261.01,Illumina HiSeq 2000,paired,NA,0.381075,0.460623,64421785,48887395,0,0,76.31,77.03,36.62,SRR166821,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX054473,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_yakuba/Drosophila_yakuba_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX054473
Drosophila_yakuba,GSE44612,SRX246998,UBERON:0007023,adult organism,UBERON:0000066,fully formed stage,male,(DSSC) 14021-0261.01,Illumina Genome Analyzer II,paired,NA,1.336952,1.884884,14050414,10869687,0,0,83.43,85.01,34.3,SRR768435,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX246998,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_yakuba/Drosophila_yakuba_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX246998
Drosophila_yakuba,GSE44612,SRX246999,UBERON:0007023,adult organism,UBERON:0000066,fully formed stage,male,(DSSC) 14021-0261.01,Illumina HiSeq 2000,paired,NA,0.623655,0.770908,76143175,56660335,0,0,83.38,84.23,38.5,SRR768436,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX246999,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Drosophila_yakuba/Drosophila_yakuba_RNA-Seq_read_counts_TPM_FPKM_GSE44612.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX246999
Equus_caballus,GSE43013,SRX211639,UBERON:0000082,adult mammalian kidney,UBERON:0018241,prime adult stage,NA,wild-type,Illumina Genome Analyzer IIx,paired,NA,0.208491,0.299447,12775686,9007805,0,0,58.56,71.87,24.73,SRR636899,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX211639,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Equus_caballus/Equus_caballus_RNA-Seq_read_counts_TPM_FPKM_GSE43013.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX211639
Equus_caballus,GSE43013,SRX211640,UBERON:0000082,adult mammalian kidney,UBERON:0018241,prime adult stage,NA,wild-type,Illumina Genome Analyzer IIx,paired,NA,0.239387,0.302201,15011171,10525191,0,0,59.36,72.66,24.98,SRR636900,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX211640,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Equus_caballus/Equus_caballus_RNA-Seq_read_counts_TPM_FPKM_GSE43013.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX211640
Equus_caballus,GSE43013,SRX211641,UBERON:0000082,adult mammalian kidney,UBERON:0018241,prime adult stage,NA,wild-type,Illumina Genome Analyzer IIx,paired,NA,0.208122,0.282944,16197978,11410766,0,0,58.8,72.23,24.87,SRR636901,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX211641,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Equus_caballus/Equus_caballus_RNA-Seq_read_counts_TPM_FPKM_GSE43013.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX211641
Equus_caballus,GSE43013,SRX211684,UBERON:0000451,prefrontal cortex,UBERON:0018241,prime adult stage,NA,wild-type,Illumina Genome Analyzer IIx,paired,NA,0.400151,0.453638,23590612,15105085,0,0,59.39,71.95,24.44,SRR636944,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX211684,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Equus_caballus/Equus_caballus_RNA-Seq_read_counts_TPM_FPKM_GSE43013.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX211684
Equus_caballus,GSE43013,SRX211685,UBERON:0000451,prefrontal cortex,UBERON:0018241,prime adult stage,NA,wild-type,Illumina Genome Analyzer IIx,paired,NA,0.306116,0.360344,20891617,14053227,0,0,59.46,72.86,24.55,SRR636945,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX211685,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Equus_caballus/Equus_caballus_RNA-Seq_read_counts_TPM_FPKM_GSE43013.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX211685
Equus_caballus,GSE43013,SRX211589,UBERON:0002107,liver,UBERON:0018241,prime adult stage,NA,wild-type,Illumina Genome Analyzer IIx,paired,NA,0.137378,0.164002,23978712,18298320,0,0,55.67,67.78,22.69,SRR636849,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX211589,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Equus_caballus/Equus_caballus_RNA-Seq_read_counts_TPM_FPKM_GSE43013.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX211589
Equus_caballus,GSE43013,SRX211590,UBERON:0002107,liver,UBERON:0018241,prime adult stage,NA,wild-type,Illumina Genome Analyzer IIx,paired,NA,0.167982,0.203154,25238199,18807473,0,0,55.99,67.36,22.79,SRR636850,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX211590,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Equus_caballus/Equus_caballus_RNA-Seq_read_counts_TPM_FPKM_GSE43013.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX211590
Equus_caballus,GSE43013,SRX211591,UBERON:0002107,liver,UBERON:0018241,prime adult stage,NA,wild-type,Illumina Genome Analyzer IIx,paired,NA,0.164671,0.180003,13465685,10223015,0,0,55.64,68.06,23.12,SRR636851,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX211591,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Equus_caballus/Equus_caballus_RNA-Seq_read_counts_TPM_FPKM_GSE43013.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX211591
Erinaceus_europaeus,GSE43013,SRX211642,UBERON:0000082,adult mammalian kidney,UBERON:0018241,prime adult stage,male,wild-type,Illumina Genome Analyzer IIx,paired,NA,0.218141,0.329027,22396187,7951896,0,0,61.1,81.47,78.64,SRR636902,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX211642,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Erinaceus_europaeus/Erinaceus_europaeus_RNA-Seq_read_counts_TPM_FPKM_GSE43013.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX211642
Erinaceus_europaeus,GSE43013,SRX211643,UBERON:0000082,adult mammalian kidney,UBERON:0018241,prime adult stage,male,wild-type,Illumina Genome Analyzer IIx,paired,NA,0.305343,0.465187,20532991,6806984,0,0,61.08,81.16,78.97,SRR636903,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX211643,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Erinaceus_europaeus/Erinaceus_europaeus_RNA-Seq_read_counts_TPM_FPKM_GSE43013.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX211643
Erinaceus_europaeus,GSE43013,SRX211686,UBERON:0000451,prefrontal cortex,UBERON:0018241,prime adult stage,male,wild-type,Illumina Genome Analyzer IIx,paired,NA,0.293765,0.550315,17653825,5456115,0,0,61.88,82.88,77.97,SRR636946,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX211686,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Erinaceus_europaeus/Erinaceus_europaeus_RNA-Seq_read_counts_TPM_FPKM_GSE43013.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX211686
Erinaceus_europaeus,GSE43013,SRX211687,UBERON:0000451,prefrontal cortex,UBERON:0018241,prime adult stage,male,wild-type,Illumina Genome Analyzer IIx,paired,NA,0.31974,0.663732,24171867,7759809,0,0,64.13,82.71,79.03,SRR636947,GEO,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRX211687,ftp://bgee.org/bgee_v14/download/processed_expr_values/rna_seq/Erinaceus_europaeus/Erinaceus_europaeus_RNA-Seq_read_counts_TPM_FPKM_GSE43013.tsv.zip,https://trace.ncbi.nlm.nih.gov/Traces/study/?acc=SRX211687
